t_rel_s,sim_Middle_deg,real_Middle_deg
3.2000,57.2957,69.7351
3.2040,57.2957,69.7351
3.2080,57.2957,69.7351
3.2120,57.2958,69.7351
3.2160,57.2957,69.7351
3.2200,57.2958,69.7351
3.2240,57.2956,69.7351
3.2280,57.2958,69.7351
3.2320,57.2954,69.7351
3.2360,57.2959,69.7351
3.2400,57.2955,69.7351
3.2440,57.2958,69.7351
3.2480,57.2955,69.7351
3.2520,57.2958,69.7351
3.2560,57.2956,69.7351
3.2600,57.2958,69.7351
3.2640,57.2955,69.7351
3.2680,57.2958,69.7351
3.2720,57.2955,69.7351
3.2760,57.2958,69.7351
3.2800,57.2955,69.7351
3.2840,57.2958,69.7351
3.2880,57.2956,69.7351
3.2920,57.2958,69.7351
3.2960,57.2955,69.7351
3.3000,57.2959,69.7351
3.3040,57.2956,69.7351
3.3080,57.2958,69.7351
3.3120,57.2955,69.7351
3.3160,57.2958,69.7351
3.3200,57.2956,69.7351
3.3240,57.2958,69.7351
3.3280,57.2955,69.7351
3.3320,57.2958,69.7351
3.3360,57.2956,69.7351
3.3400,57.2958,69.7351
3.3440,57.2955,69.7351
3.3480,57.2958,69.7351
3.3520,57.2956,69.7351
3.3560,57.2958,69.7351
3.3600,57.2955,69.7351
3.3640,57.2959,69.7351
3.3680,57.2956,69.7351
3.3720,57.2958,69.7351
3.3760,57.2955,69.7351
3.3800,57.2958,69.7351
3.3840,57.2956,69.7351
3.3880,57.2958,69.5827
3.3920,57.2955,68.7632
3.3960,57.2958,68.5430
3.4000,57.2956,67.5627
3.4040,57.2958,66.5318
3.4080,57.2955,66.0520
3.4120,57.2958,65.5937
3.4160,57.2956,64.6543
3.4200,57.2958,64.0261
3.4240,57.2955,63.5440
3.4280,57.2958,62.9594
3.4320,57.2956,62.0274
3.4360,57.2959,61.9868
3.4400,57.2955,61.2940
3.4440,57.2959,60.5728
3.4480,57.2955,60.1225
3.4520,57.2959,59.6314
3.4560,57.2955,58.7247
3.4600,57.2959,58.0910
3.4640,57.2955,57.3978
3.4680,57.2959,56.5305
3.4720,57.2955,56.0853
3.4760,57.2959,55.5874
3.4800,57.2955,54.7871
3.4840,57.2959,54.2384
3.4880,57.2957,54.2384
3.4920,57.2955,54.2384
3.4960,57.2959,52.8404
3.5000,57.2955,52.0774
3.5040,57.2958,51.3576
3.5080,57.2955,50.5601
3.5120,57.2960,50.0995
3.5160,57.2957,49.5762
3.5200,57.2958,48.7168
3.5240,57.2957,48.0486
3.5280,57.2959,47.5332
3.5320,57.2957,46.5174
3.5360,57.2958,45.9894
3.5400,57.2957,45.8940
3.5440,57.2958,45.4790
3.5480,57.2957,44.5140
3.5520,57.2958,43.5099
3.5560,57.2957,43.5099
3.5600,57.2958,42.7573
3.5640,57.2957,42.0517
3.5680,57.2958,41.4333
3.5720,57.2957,40.5209
3.5760,57.2958,40.0187
3.5800,57.2957,39.5369
3.5840,57.2958,38.8077
3.5880,56.5393,38.1457
3.5920,55.0524,38.1457
3.5960,55.0524,37.1127
3.6000,55.0524,36.5541
3.6040,55.0524,36.0963
3.6080,54.1899,35.5095
3.6120,52.5598,34.5515
3.6160,52.5598,34.0622
3.6200,52.5598,33.5895
3.6240,52.5598,32.8710
3.6280,51.6405,32.0573
3.6320,50.0021,31.5329
3.6360,50.0021,30.5408
3.6400,50.0021,29.9890
3.6440,50.0021,29.8013
3.6480,48.8724,29.4866
3.6520,47.3087,28.6093
3.6560,47.3087,28.6093
3.6600,47.3087,27.3515
3.6640,47.3087,26.5348
3.6680,46.1263,26.0681
3.6720,44.5770,25.5208
